"FACID"	"bing_type"	"bing_confidence"	"bing_latitude"	"bing_longitude"	"address"
960000345	"Address"	"High"	33.9973526001	-117.8373794556	"1370 VALLEY VISTA DRIVE   145, DIAMOND BAR CA 91765"
630014445	"Address"	"High"	38.5964736938	-121.4392623901	"1375 EXPOSITION BLVD, SACRAMENTO CA 95815"
630014795	"Address"	"High"	37.8985753655	-122.0619142056	"1375 LOCUST STREET, WALNUT CREEK CA 94596"
960000295	"Address"	"High"	34.1575549543	-118.4326815605	"13750 RIVERSIDE DR., SHERMAN OAKS CA 91423"
240001146	"Address"	"High"	34.1250076294	-117.2791824341	"1376 N. WATERMAN AVENUE, SAN BERNARDINO CA 92404"
110000578	"Address"	"High"	39.1296952218	-123.20866853	"1377 S. DORA ST., UKIAH CA 95482"
140000480	"Address"	"High"	37.7146033198	-122.1419318765	"13847 EAST 14TH ST., SAN LEANDRO CA 94578"
980001127	"Address"	"High"	33.7379729748	-118.307474032	"1386-B WEST SEVENTH STREET, SAN PEDRO CA 90732"
960000576	"Address"	"High"	34.3112258911	-118.4358978271	"13870 FOOTHILL BLVD., SYLMAR CA 91342"
40000480	"Address"	"High"	36.3273628056	-119.6662516147	"1392 BAILEY DRIVE, HANFORD CA 93230"
40000524	"Address"	"High"	36.3273628056	-119.6662516147	"1392 BAILEY DRIVE, HANFORD CA 93230"
60000467	"Address"	"High"	33.7840667367	-118.1963957101	"1401 CHESTNUT AVENUE, SUITE 1, LONG BEACH CA 90813"
960000860	"Address"	"High"	33.7840667367	-118.1963957101	"1401 CHESTNUT STREET, LONG BEACH CA 90813"
960002612	"Address"	"High"	33.798336	-118.301834	"1403 W. LOMITA BLVD. SUITE 100, HARBOR CITY CA 90710"
240000551	"Address"	"High"	34.8326034546	-114.6194534302	"1406 BAILEY AVE, #E, NEEDLES CA 92363"
140000034	"Address"	"High"	37.7991773933	-122.231066376	"1411 E 31ST STREET, OAKLAND CA 94602"
960000296	"Address"	"High"	34.1648150235	-118.4404090047	"14116 MAGNOLIA BLVD, SHERMAN OAKS CA 91423"
960000297	"Address"	"High"	34.1648150235	-118.4404090047	"14116 MAGNOLIA BLVD, SHERMAN OAKS CA 91423"
960001971	"Address"	"High"	34.1648150235	-118.4404090047	"14116 MAGNOLIA BLVD., SHERMAN OAKS CA 91423"
960002611	"Address"	"High"	34.164566	-118.441284	"14140 MAGNOLIA BLVD., SHERMAN OAKS CA 91423"
30001103	"Address"	"High"	37.9361076355	-121.2893218994	"1425 S CENTER ST, STOCKTON CA 95206"
250001041	"Address"	"High"	33.9130856842	-117.2700250894	"14340 ELSWORTH, SUITE 118, MORENO VALLEY CA 92553"
980001320	"Address"	"High"	33.8970413208	-118.0270767212	"14354 SAN ARDO DRIVE, LA MIRADA CA 90638"
70000622	"Address"	"High"	37.3246007413	-121.8552191556	"1440 ROBERTS AVENUE, SAN JOSE CA 95122"
630012065	"Address"	"High"	37.7446594238	-121.4353485107	"1441 N TRACY BLVD, TRACY CA 95376"
240000928	"Address"	"High"	34.1257721186	-117.3573960364	"1442 N. EUCALYPTUS AVENUE, UNIT A, RIALTO CA 92376"
40000670	"Address"	"High"	36.5167121887	-119.5488739014	"1448 WASHINGTON STREET, KINGSBURG CA 93631"
40001015	"Address"	"High"	36.8086148053	-119.7070929408	"145 SHAW AVENUE, SUITE A, CLOVIS CA 93612"
120001592	"Address"	"High"	36.1967150867	-119.3257371336	"1450 EAST BARDSLEY, TULARE CA 93274"
120001590	"Address"	"High"	36.5459060669	-119.3796615601	"1451 E. EL MONTE WAY, DINUBA CA 93618"
250000604	"Address"	"High"	33.9098587036	-117.2179336548	"14510 RIO BRAVO, MORENO VALLEY CA 92553"
110000272	"Address"	"High"	38.2549591064	-122.6329727173	"1456 PROFESSIONAL DR, PETALUMA CA 94952"
110000680	"Address"	"High"	38.254959	-122.632972	"1456 PROFESSIONAL DRIVE, STE. 405, PETALUMA CA 94954"
70000596	"Address"	"High"	37.2968788147	-121.9855651855	"1460 SARATOGA AVENUE, SARATOGA CA 95070"
60000235	"Address"	"High"	33.89809	-118.354316	"14616 S. GREVILLEA AVE, LAWNDALE CA 90260"
630012235	"Address"	"High"	36.0947140306	-119.244716987	"14640 AVE 168, WOODVILLE CA 93257"
110000285	"Address"	"High"	38.4362411499	-122.7375183105	"1472 GLENBROOK DRIVE, SANTA ROSA CA 95401"
110000466	"Address"	"High"	38.255115509	-122.6328582764	"1476 PROFESSIONAL DRIVE #504, PETALUMA CA 94952"
630016077	"Address"	"High"	36.0022583008	-120.1365432739	"148 E. KINGS ST., AVENAL CA 93204"
40000504	"Address"	"High"	36.1392514408	-120.3608357906	"148 WEST ELM, COALINGA CA 93210"
110000506	"Address"	"High"	38.961860016	-122.6333823055	"14888 OLYMPIC DR., CLEARLAKE CA 95422"
110001057	"Address"	"High"	37.9007759094	-122.5509185791	"149 EDGEWOOD AVENUE, MILL VALLEY CA 94941"
250001379	"Address"	"High"	33.6104614288	-114.5974861085	"149 W. HOBSONWAY, BLYTHE CA 92225"
60000510	"Address"	"High"	34.1235733032	-117.9072265625	"150 N. AZUSA AVENUE, AZUSA CA 91702"
240000975	"Address"	"High"	34.0848650783	-117.6227342337	"1500 EAST 6TH STREET, ROOM 30, ONTARIO CA 91764"
60001138	"Address"	"High"	34.011737	-118.169746	"1500 S. MCDONNELL AVENUE, LOS ANGELES CA 90022"
