"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5837265",-122.347503097,37.9452749526,2012,"0710","0","1","4","08",0,1,"A",,,,,,1800,9,"D","C","A","23RD ST","ESMOND AV",0,,"Y","2014-02-26",710,"2012-09-24",1619,"1478","NORTH","5","5","0","0",,"0","007","-","N",,0,0,,,0,,,,"Y",2,"A","-",22107,,"N","A","H","-","A","D","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5837202",-122.359773177,37.913764941,2012,"0710","0","5","3","09",0,1,"A",,,,,,1500,9,"D","C","A","HARBOUR WY S","HALL AV",0,,"Y","2013-12-09",710,"2012-09-21",1350,"1233",,"5","5","0","0",,"0","001","-","N",,0,0,,,0,,,,"Y",2,"A","-",21802,"A","N","A","H","-","A","A","0","Y","-","-",0,1,0,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5836609",-122.325103208,37.9353349206,2012,"0710","0","5","3","05",0,1,"A",,"Y",,,,1200,9,"D","G","A","BARRETT AV","SAN PABLO AV",0,"E","N","2014-03-19",710,"2012-09-21",954,"1324","NORTH","5","5","0","0",,"0","007","-","N",,0,0,,,0,,,,"N",2,"A","-",21650,"1","N","A","H","-","A","A","0","Y","L","04",0,1,0,0,0,0,1,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5836597",-122.343233187,37.9443648873,2012,"0710","0","4","4","08",0,1,"A",,,,,,900,9,"D","C","A","GAYNOR AV","26TH ST",0,,"Y","2014-03-19",710,"2012-09-06",820,"1594","NORTH","5","5","0","0",,"0","007","-","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"N","A","H","-","A","D","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5836031",-122.356973086,37.9294249552,2012,"0710","0","1","4","08",0,1,"A",,,,,,1800,9,"A","I","A","13TH ST","FLORIDA AV",0,,"Y","2013-12-07",710,"2012-09-03",1613,"1584","0710","5","5","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",1,"A","-",22107,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5836027",-122.34464653,37.925225915,2012,"0710","0","2","4","03",0,1,"A",,,,,,1200,9,"C","C","A","CUTTING BL","26TH ST",25,"E","N","2013-12-07",710,"2012-09-04",1029,"1584","710","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5823110",-122.317583165,37.915065006,2012,"0710","1","2","3","03",0,5,"A",,,,,,1200,9,"C","C","A","RT 80","CARLSON BL",1300,"E","N","2013-12-02",9370,"2012-09-11",902,"019572",,"1","5","0","1",,"2","082","-","Y","CC",4,80,"-","-",1.28,"H","-","W","Y",4,"A","-",22350,,"N","A","H","-","A","D","6","Y","A","01",0,1,4,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",-122.31773,37.91524
"5823050",-122.312736733,37.988784775,2012,"0710","1","6","3","08",0,1,"A",,,,,,1800,9,"E","I","A","RT 80","RICHMOND PKWY",200,"E","N","2013-12-02",9370,"2012-09-01",1530,"020129",,"2","5","0","1",,"2","083","-","Y","CC",4,80,"-","-",6.78,"H","-","E","Y",1,"A","-",22107,,"N","A","H","-","A","D","6","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",-122.31162,37.98983
"5819994",-122.325723107,37.9487748788,2012,"0710","0","7","4","12",0,1,"A",,,,,,1200,8,"D","C","A","AMADOR AV","MCBRYDE AV",0,,"Y","2013-11-30",710,"2012-08-05",1049,"1593","NORTH","5","5","0","0",,"0","007","-","N",,0,0,,,0,,,,"N",2,"A","-",21457,"A","F","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5819934",-122.32560798,37.9787791045,2012,"0710","0","3","4","09",0,1,"A",,,,,,1500,8,"B","C","A","HILLTOP MALL RD","GARRITY WY",120,"S","N","2013-11-30",710,"2012-08-22",1400,"1324","NORTH","5","5","0","0",,"0","008","-","N",,0,0,,,0,,,,"N",2,"A","-",21804,"A","N","A","H","-","A","A","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5819930",0,0,2012,"0710","0","6","4","08",0,1,"A",,,,,,1200,8,"A","I","A","MARINA WAY","METRO WALK",1,"N","N","2013-11-30",710,"2012-08-18",1052,"1594","CENTR","5","5","0","0",,"0","006","-","N",,0,0,,,0,,,,"N",1,"A","-",22107,,"N","A","H","-","A","D","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
