job,total_workers,median_pay,men_workers,men_median_pay,women_workers,women_median_pay
Boilermakers,15,,15,,0,
"Brickmasons, blockmasons, and stonemasons",121,787,121,787,0,
Carpenters,870,789,851,789,19,
"Carpet, floor, and tile installers and finishers",115,631,114,628,1,
"Cement masons, concrete finishers, and terrazzo workers",47,,45,,2,
Construction laborers,1443,670,1400,667,43,
"Paving, surfacing, and tamping equipment operators",12,,12,,0,
Pile-driver operators,2,,2,,0,
Operating engineers and other construction equipment operators,324,868,318,868,6,
"Drywall installers, ceiling tile installers, and tapers",114,634,112,628,1,
Electricians,726,979,711,974,15,
Glaziers,39,,39,,0,
Insulation workers,52,768,49,,3,
"Painters, construction and maintenance",347,683,328,689,20,
Paperhangers,1,,1,,0,
"Pipelayers, plumbers, pipefitters, and steamfitters",497,866,489,865,8,
Plasterers and stucco masons,24,,24,,0,
Reinforcing iron and rebar workers,13,,13,,0,
Roofers,174,621,174,621,0,
Sheet metal workers,136,865,132,866,3,
Structural iron and steel workers,43,,41,,2,
Solar photovoltaic installers,7,,7,,0,
"Helpers, construction trades",57,621,53,627,4,
Construction and building inspectors,63,974,60,1068,4,
Elevator installers and repairers,38,,38,,0,
Fence erectors,26,,25,,1,
Hazardous materials removal workers,27,,20,,6,
Highway maintenance workers,91,761,88,770,4,
Rail-track laying and maintenance equipment operators,10,,10,,0,
Septic tank servicers and sewer pipe cleaners,6,,6,,0,
Miscellaneous construction and related workers,15,,14,,1,
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",27,,27,,0,
"Earth drillers, except oil and gas",17,,17,,0,
"Explosives workers, ordnance handling experts, and blasters",12,,12,,0,
Mining machine operators,49,,49,,0,
"Roof bolters, mining",2,,2,,0,
"Roustabouts, oil and gas",4,,4,,0,
Helpers--extraction workers,5,,5,,1,
Other extraction workers,54,900,52,907,2,
"First-line supervisors of mechanics, installers, and repairers",244,1092,225,1089,19,
"Computer, automated teller, and office machine repairers",173,819,156,833,17,
Radio and telecommunications equipment installers and repairers,121,1010,113,1069,8,
Avionics technicians,7,,7,,0,
"Electric motor, power tool, and related repairers",30,,30,,0,
"Electrical and electronics installers and repairers, transportation 
equipment",1,,1,,0,
"Electrical and electronics repairers, industrial and utility",14,,14,,0,
"Electronic equipment installers and repairers, motor vehicles",11,,11,,0,
Electronic home entertainment equipment installers and repairers,38,,38,,0,
Security and fire alarm systems installers,71,945,68,943,3,
Aircraft mechanics and service technicians,153,1169,146,1175,6,
Automotive body and related repairers,124,821,122,832,1,
Automotive glass installers and repairers,21,,21,,0,
Automotive service technicians and mechanics,752,761,737,764,15,
Bus and truck mechanics and diesel engine specialists,367,887,362,887,4,
Heavy vehicle and mobile equipment service technicians and mechanics,177,993,173,1005,4,
Small engine mechanics,26,,26,,0,
"Miscellaneous vehicle and mobile equipment mechanics, installers, and 
repairers",64,613,64,613,0,
Control and valve installers and repairers,25,,25,,0,
"Heating, air conditioning, and refrigeration mechanics and installers",376,830,369,832,7,
Home appliance repairers,26,,26,,0,
Industrial and refractory machinery mechanics,395,923,379,932,16,
"Maintenance and repair workers, general",511,828,490,834,20,
"Maintenance workers, machinery",25,,25,,0,
Millwrights,40,,39,,1,
Electrical power-line installers and repairers,132,1191,132,1191,0,
Telecommunications line installers and repairers,187,879,181,876,5,
Precision instrument and equipment repairers,44,,34,,10,
Wind turbine service technicians,6,,6,,0,
"Coin, vending, and amusement machine servicers and repairers",24,,23,,1,
Commercial divers,0,,0,,0,
Locksmiths and safe repairers,20,,18,,2,
