"CASE_ID","ACCIDENT_YEAR","COLLISION_DATE","INTERSECTION","COLLISION_TIME","DAY_OF_WEEK","PRIMARY_RD","SECONDARY_RD","NUMBER_KILLED","NUMBER_INJURED","HIT_AND_RUN","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","ALCOHOL_INVOLVED","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","COUNTY","CITY","POINT_X","POINT_Y"
"2471049",2006,2006-01-22,"Y","0003",7,"HILLTOP DR","BLUME DR",0,1,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32431,37.9767
"2471051",2006,2006-01-28,"Y","1006",6,"23RD ST","BARRETT AV",0,3,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34756,37.93847
"2471054",2006,2006-01-31,"N","2108",2,"MORNINGSIDE DR","MEADOWBROOK DR",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.28509,37.97102
"2471055",2006,2006-01-27,"N","2230",5,"SAN PABLO AV","RICHMOND PKY",0,3,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33319,37.99053
"2471062",2006,2006-02-04,"Y","1415",6,"MACDONALD AV","24TH ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34638,37.9356
"2471063",2006,2006-01-22,"Y","1245",7,"BARRETT AV","4TH ST",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.3658,37.93842
"2471069",2006,2006-02-08,"N","1155",3,"MACDONALD AV","HARBOUR WY",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.36016,37.93565
"2471070",2006,2006-02-02,"Y","1354",4,"MACDONALD AV","4TH ST",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.3657,37.93571
"2471071",2006,2006-01-24,"Y","1708",2,"BARRETT AV","41ST ST",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.3302,37.93605
"2471075",2006,2006-01-27,"N","0526",5,"RICHMOND PKY","ATLAS RD",0,1,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.3354,37.99133
"2471078",2006,2006-02-03,"N","0328",5,"CASTRO ST","GATE 93",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",,
"2471079",2006,2006-01-23,"N","1145",1,"HARBOR WY","BARRETT AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.36001,37.93882
"2471089",2006,2006-02-02,"Y","1650",4,"MACDONALD AV","22ND ST",0,4,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.3486,37.93576
"2471094",2006,2006-01-30,"N","1445",1,"HARBOUR WY S","MAINE AV",0,1,"M",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.3601,37.92723
"2471097",2006,2006-02-01,"N","0900",3,"MARKET ST","7TH ST",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.35957,37.95863
"2471101",2006,2006-02-07,"Y","0950",2,"HARBOR WY","MACDONALD AV",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.36003,37.93565
"2471109",2006,2006-02-05,"N","0123",7,"W CUTTING BL","W CUTTING BL 915",0,2,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.37874,37.92529
"2471110",2006,2006-01-29,"Y","0820",7,"RICHMOND PKY","SAN PABLO AV",0,3,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33294,37.9908
"2471767",2006,2006-01-18,"N","1629",3,"CENTRAL AV","PIERCE ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.30978,37.9011
"2471768",2006,2006-01-12,"Y","1630",4,"CUTTING BL","S 41ST ST",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33068,37.92542
"2471776",2006,2006-01-03,"Y","1306",2,"CARLSON BL","RT 80",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31758,37.91445
