"CASE_ID","ACCIDENT_YEAR","COLLISION_DATE","INTERSECTION","COLLISION_TIME","DAY_OF_WEEK","PRIMARY_RD","SECONDARY_RD","NUMBER_KILLED","NUMBER_INJURED","HIT_AND_RUN","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","ALCOHOL_INVOLVED","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","COUNTY","CITY","POINT_X","POINT_Y"
"6089676",2013,2013-05-13,"N","1651",1,"RT 880","HIGH ST",0,4,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.21842,37.76568
"6090423",2013,2013-05-31,"N","1614",5,"AVENAL AV","65TH AV",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.18841,37.76684
"6090471",2013,2013-03-16,"N","1430",6,"SAN LEANDRO ST","HIGH ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.21703,37.77056
"6091128",2013,2013-06-08,"N","0610",6,"RT 80","SFOBB METERING LIGHTS",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.29782,37.82709
"6091827",2013,2013-05-22,"N","1510",3,"INTERNATIONAL BL","6TH AV",0,1,"N",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.25315,37.79512
"6091831",2013,2013-05-23,"N","1535",4,"PIEDMONT AV","MONTELL ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.25466,37.82471
"6091835",2013,2013-05-24,"Y","0820",5,"40TH ST","MANILA AV",0,1,"N",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.25787,37.82798
"6091839",2013,2013-05-23,"N","1912",4,"GRIZZLY PEAK BL","S PARK RD",0,1,"N",,,"Y",,0,0,0,0,0,1,"ALAMEDA","OAKLAND",,
"6092492",2013,2013-04-10,"Y","1927",3,"13TH ST","FRANKLIN ST",0,1,"N","Y",,"Y",,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.27042,37.80318
"6092524",2013,2013-04-04,"Y","1710",4,"23RD AV","E 7TH ST",0,1,"N",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.23629,37.77553
"6092528",2013,2013-04-04,"Y","1754",4,"9TH AV","E 11TH ST",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.25248,37.79147
"6092532",2013,2013-04-04,"Y","0815",4,"PERALTA ST","28TH ST",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.28616,37.82112
"6092536",2013,2013-04-15,"Y","2150",1,"INTERNATIONAL BL","2ND AV",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.25633,37.79795
"6092540",2013,2013-04-06,"Y","1852",6,"INTERNATIONAL BL","96TH AV",0,1,"N","Y",,,"Y",0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.17162,37.74573
"6092544",2013,2013-04-04,"N","2110",4,"SAN PABLO AV","BROCKHURST ST",0,1,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.27759,37.82369
"6092548",2013,2013-04-25,"Y","0800",4,"13TH AV","E 22ND ST",0,2,"N",,,"Y",,0,0,0,0,0,1,"ALAMEDA","OAKLAND",-122.23982,37.79512
"6092552",2013,2013-04-12,"Y","0800",5,"BROADWAY","26TH ST",0,1,"N",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.2647,37.81484
"6092556",2013,2013-04-14,"N","2010",7,"MAPLE AV","GEORGIA ST",0,1,"N","Y","Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.20568,37.79671
"6092560",2013,2013-04-14,"N","1614",7,"INTERNATIONAL BL","82ND AV",0,3,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.17973,37.75565
"6094031",2013,2013-05-23,"N","0825",4,"RT 80","SF/ALA CO LINE",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.34663,37.8182
"6094062",2013,2013-05-15,"N","1025",3,"RT 580","PARK BL",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.23909,37.80708
"6094066",2013,2013-05-19,"N","2330",7,"RT 580","KELLER AV",0,5,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.16488,37.7768
"6094070",2013,2013-05-22,"N","1455",3,"RT 580","LAKE PARK AV",0,1,"M",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.23983,37.80742
"6094074",2013,2013-05-22,"N","1933",3,"RT 580","KUHNLE AV",0,4,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.16934,37.77887
