country,iso3c,year,value
Russian Federation,RUS,1999,66.04365853658537
Russian Federation,RUS,2000,65.34146341463415
Russian Federation,RUS,2001,65.48780487804879
Russian Federation,RUS,2002,65.08536585365854
Russian Federation,RUS,2003,65.00756097560976
Russian Federation,RUS,2004,65.42121951219512
Russian Federation,RUS,2005,65.47
Russian Federation,RUS,2006,66.64317073170733
Russian Federation,RUS,2007,67.49756097560976
Russian Federation,RUS,2008,67.84878048780489
Russian Federation,RUS,2009,68.60487804878049
Russian Federation,RUS,2010,68.85609756097563
Russian Federation,RUS,2011,69.65853658536587
Russian Federation,RUS,2012,70.3658536585366
Russian Federation,RUS,2013,70.3658536585366
Russian Federation,RUS,2014,70.3658536585366
Rwanda,RWA,1990,33.48512195121951
Rwanda,RWA,1991,29.745829268292685
Rwanda,RWA,1992,27.483658536585367
Rwanda,RWA,1993,27.078902439024397
Rwanda,RWA,1994,28.568121951219513
Rwanda,RWA,1995,31.634512195121957
Rwanda,RWA,1996,35.65919512195122
Rwanda,RWA,1997,39.804804878048785
Rwanda,RWA,1998,43.41519512195122
Rwanda,RWA,1999,46.226073170731716
Rwanda,RWA,2000,48.19236585365854
Rwanda,RWA,2001,49.507682926829276
Rwanda,RWA,2002,50.60480487804878
Rwanda,RWA,2003,51.812073170731715
Rwanda,RWA,2004,53.197634146341464
Rwanda,RWA,2005,54.75160975609757
Rwanda,RWA,2006,56.38665853658537
Rwanda,RWA,2007,57.946000000000005
Rwanda,RWA,2008,59.31534146341464
Rwanda,RWA,2009,60.46597560975611
Rwanda,RWA,2010,61.401780487804885
Rwanda,RWA,2011,62.15536585365854
Rwanda,RWA,2012,62.799365853658536
Rwanda,RWA,2013,63.39482926829268
Rwanda,RWA,2014,63.96565853658538
South Asia,SAS,1990,58.22082511785212
South Asia,SAS,1991,58.7082925642892
South Asia,SAS,1992,59.2046720741936
South Asia,SAS,1993,59.70158448700917
South Asia,SAS,1994,60.1943263748993
South Asia,SAS,1995,60.67876223958766
South Asia,SAS,1996,61.150588186890104
South Asia,SAS,1997,61.61026721004864
South Asia,SAS,1998,62.057567397505565
South Asia,SAS,1999,62.48938169587362
South Asia,SAS,2000,62.905164381307856
South Asia,SAS,2001,63.30459442771551
South Asia,SAS,2002,63.690163880379686
South Asia,SAS,2003,64.0667809017986
South Asia,SAS,2004,64.43612411291946
South Asia,SAS,2005,64.80320310035029
South Asia,SAS,2006,65.173550753329
South Asia,SAS,2007,65.54851672181394
South Asia,SAS,2008,65.92806824865973
South Asia,SAS,2009,66.3106740817486
South Asia,SAS,2010,66.69295483257793
South Asia,SAS,2011,67.06995440436494
South Asia,SAS,2012,67.4353854310621
South Asia,SAS,2013,67.78629750304194
South Asia,SAS,2014,68.12104459682145
Saudi Arabia,SAU,1990,69.1670243902439
Saudi Arabia,SAU,1991,69.59219512195124
Saudi Arabia,SAU,1992,69.9979268292683
Saudi Arabia,SAU,1993,70.38595121951221
Saudi Arabia,SAU,1994,70.75636585365855
Saudi Arabia,SAU,1995,71.10929268292684
Saudi Arabia,SAU,1996,71.44329268292684
Saudi Arabia,SAU,1997,71.75429268292685
Saudi Arabia,SAU,1998,72.04017073170733
Saudi Arabia,SAU,1999,72.29885365853659
Saudi Arabia,SAU,2000,72.52621951219513
Saudi Arabia,SAU,2001,72.71663414634146
Saudi Arabia,SAU,2002,72.87146341463416
Saudi Arabia,SAU,2003,72.99460975609756
Saudi Arabia,SAU,2004,73.09346341463416
Saudi Arabia,SAU,2005,73.177
Saudi Arabia,SAU,2006,73.25817073170732
Saudi Arabia,SAU,2007,73.34507317073171
Saudi Arabia,SAU,2008,73.44575609756099
Saudi Arabia,SAU,2009,73.56426829268294
Saudi Arabia,SAU,2010,73.70160975609757
Saudi Arabia,SAU,2011,73.85485365853658
Saudi Arabia,SAU,2012,74.0160243902439
Saudi Arabia,SAU,2013,74.17763414634146
Saudi Arabia,SAU,2014,74.33721951219513
Sudan,SDN,1990,55.51446341463416
Sudan,SDN,1991,55.69085365853658
Sudan,SDN,1992,55.879585365853664
Sudan,SDN,1993,56.081170731707324
Sudan,SDN,1994,56.29865853658537
Sudan,SDN,1995,56.53307317073172
Sudan,SDN,1996,56.78595121951221
Sudan,SDN,1997,57.05587804878049
Sudan,SDN,1998,57.34439024390245
Sudan,SDN,1999,57.650585365853665
Sudan,SDN,2000,57.97497560975611
Sudan,SDN,2001,58.31663414634147
Sudan,SDN,2002,58.675560975609756
Sudan,SDN,2003,59.05024390243903
Sudan,SDN,2004,59.43814634146342
Sudan,SDN,2005,59.84082926829269
Sudan,SDN,2006,60.26224390243903
Sudan,SDN,2007,60.700878048780496
Sudan,SDN,2008,61.150609756097566
Sudan,SDN,2009,61.60239024390244
Sudan,SDN,2010,62.04258536585366
Sudan,SDN,2011,62.45553658536586
Sudan,SDN,2012,62.83219512195123
Sudan,SDN,2013,63.167048780487804
Sudan,SDN,2014,63.45853658536585
Senegal,SEN,1990,57.18309756097562
Senegal,SEN,1991,57.40948780487805
Senegal,SEN,1992,57.50660975609757
Senegal,SEN,1993,57.511365853658546
Senegal,SEN,1994,57.456243902439034
Senegal,SEN,1995,57.379609756097565
Senegal,SEN,1996,57.31934146341464
Senegal,SEN,1997,57.30336585365854
Senegal,SEN,1998,57.35914634146342
Senegal,SEN,1999,57.508243902439034
Senegal,SEN,2000,57.76580487804879
Senegal,SEN,2001,58.13556097560976
Senegal,SEN,2002,58.596170731707325
Senegal,SEN,2003,59.12768292682927
Senegal,SEN,2004,59.71851219512196
Senegal,SEN,2005,60.3619268292683
Senegal,SEN,2006,61.05407317073172
Senegal,SEN,2007,61.78417073170732
Senegal,SEN,2008,62.535073170731714
Senegal,SEN,2009,63.28678048780488
Senegal,SEN,2010,64.01443902439026
Senegal,SEN,2011,64.69536585365853
Senegal,SEN,2012,65.3188780487805
Senegal,SEN,2013,65.87875609756098
Senegal,SEN,2014,66.37258536585367
Singapore,SGP,1990,75.29512195121951
Singapore,SGP,1991,75.64634146341463
Singapore,SGP,1992,75.94634146341464
Singapore,SGP,1993,76.04634146341465
Singapore,SGP,1994,76.19756097560976
Singapore,SGP,1995,76.2951219512195
Singapore,SGP,1996,76.59512195121953
